274096,14790,23624,20202,17982,105428,14234,12106,38885,15130,235064,20081,13511,6504,10859,105682
14790,1412,1686,1757,1103,8111,1019,1159,2445,1453,13576,1733,1027,850,833,7144
23624,1686,3120,2118,1741,7141,1554,1203,3547,1524,22415,2163,1605,783,1656,7519
20202,1757,2118,2296,1629,9833,1392,1752,3342,1818,19911,2470,1149,914,1162,10240
17982,1103,1741,1629,2006,9381,1841,1489,3847,1626,17182,2514,1384,935,1090,8953
105428,8111,7141,9833,9381,110950,8564,10050,15512,11421,97242,14312,8568,8977,6714,88034
14234,1019,1554,1392,1841,8564,1748,1212,3414,1567,16844,2076,1167,893,1396,8269
12106,1159,1203,1752,1489,10050,1212,1756,2265,1538,11740,2296,1291,1086,1139,10705
38885,2445,3547,3342,3847,15512,3414,2265,6190,2860,32624,3563,1586,1219,1602,9571
15130,1453,1524,1818,1626,11421,1567,1538,2860,2128,15503,2420,1079,1208,1078,8545
235064,13576,22415,19911,17182,97242,16844,11740,32624,15503,259480,22678,10142,7788,12969,88302
20081,1733,2163,2470,2514,14312,2076,2296,3563,2420,22678,3494,1257,1309,1352,11023
13511,1027,1605,1149,1384,8568,1167,1291,1586,1079,10142,1257,1164,1016,1101,8106
6504,850,783,914,935,8977,893,1086,1219,1208,7788,1309,1016,1208,947,7347
10859,833,1656,1162,1090,6714,1396,1139,1602,1078,12969,1352,1101,947,1636,7374
105682,7144,7519,10240,8953,88034,8269,10705,9571,8545,88302,11023,8106,7347,7374,88792
